"","Id","cover","ff","Layer_1","year","month","day"
"1",1,"non-woody-winsen","4/8",0,"2018","08","12"
"2",2,"non-woody","0",0,"2018","08","12"
"3",3,"non-woody-winsen","5.8",0,"2018","08","12"
"4",4,"waterbody","7/8",0,"2018","08","12"
"5",5,"non-woody","5/8",0,"2018","08","12"
"6",6,"non-woody","2/8",0,"2018","08","12"
"7",7,"non-woody","3/8",0,"2018","08","12"
"8",8,"non-woody","5/8",0,"2018","08","12"
"9",9,"non-woody","3/8",0,"2018","08","12"
"10",10,"waterbody","8/8",0,"2018","08","12"
"11",11,"woody","4/5",0,"2018","08","12"
"12",12,"non-woody","7/8",0,"2018","08","12"
"13",13,"woody","1/8",0,"2018","08","12"
"14",14,"woody","8/8",0,"2018","08","12"
"15",1,"non-woody-winsen","4/8",0,"2018","08","28"
"16",2,"non-woody","0",0,"2018","08","28"
"17",3,"non-woody-winsen","5.8",0,"2018","08","28"
"18",4,"waterbody","7/8",0,"2018","08","28"
"19",5,"non-woody","5/8",0,"2018","08","28"
"20",6,"non-woody","2/8",0,"2018","08","28"
"21",7,"non-woody","3/8",0,"2018","08","28"
"22",8,"non-woody","5/8",0,"2018","08","28"
"23",9,"non-woody","3/8",0,"2018","08","28"
"24",10,"waterbody","8/8",0,"2018","08","28"
"25",11,"woody","4/5",0,"2018","08","28"
"26",12,"non-woody","7/8",0,"2018","08","28"
"27",13,"woody","1/8",0,"2018","08","28"
"28",14,"woody","8/8",0,"2018","08","28"
"29",1,"non-woody-winsen","4/8",0,"2018","09","13"
"30",2,"non-woody","0",0,"2018","09","13"
"31",3,"non-woody-winsen","5.8",0,"2018","09","13"
"32",4,"waterbody","7/8",0,"2018","09","13"
"33",5,"non-woody","5/8",0,"2018","09","13"
"34",6,"non-woody","2/8",0,"2018","09","13"
"35",7,"non-woody","3/8",0,"2018","09","13"
"36",8,"non-woody","5/8",0,"2018","09","13"
"37",9,"non-woody","3/8",0,"2018","09","13"
"38",10,"waterbody","8/8",0,"2018","09","13"
"39",11,"woody","4/5",0,"2018","09","13"
"40",12,"non-woody","7/8",0,"2018","09","13"
"41",13,"woody","1/8",0,"2018","09","13"
"42",14,"woody","8/8",0,"2018","09","13"
"43",1,"non-woody-winsen","4/8",0,"2018","09","29"
"44",2,"non-woody","0",0,"2018","09","29"
"45",3,"non-woody-winsen","5.8",0,"2018","09","29"
"46",4,"waterbody","7/8",0,"2018","09","29"
"47",5,"non-woody","5/8",0,"2018","09","29"
"48",6,"non-woody","2/8",0,"2018","09","29"
"49",7,"non-woody","3/8",0,"2018","09","29"
"50",8,"non-woody","5/8",0,"2018","09","29"
"51",9,"non-woody","3/8",0,"2018","09","29"
"52",10,"waterbody","8/8",0,"2018","09","29"
"53",11,"woody","4/5",0,"2018","09","29"
"54",12,"non-woody","7/8",0,"2018","09","29"
"55",13,"woody","1/8",0,"2018","09","29"
"56",14,"woody","8/8",0,"2018","09","29"
"57",1,"non-woody-winsen","4/8",0,"2018","10","31"
"58",2,"non-woody","0",0,"2018","10","31"
"59",3,"non-woody-winsen","5.8",0,"2018","10","31"
"60",4,"waterbody","7/8",0,"2018","10","31"
"61",5,"non-woody","5/8",0,"2018","10","31"
"62",6,"non-woody","2/8",0,"2018","10","31"
"63",7,"non-woody","3/8",0,"2018","10","31"
"64",8,"non-woody","5/8",0,"2018","10","31"
"65",9,"non-woody","3/8",0,"2018","10","31"
"66",10,"waterbody","8/8",0,"2018","10","31"
"67",11,"woody","4/5",0,"2018","10","31"
"68",12,"non-woody","7/8",0,"2018","10","31"
"69",13,"woody","1/8",0,"2018","10","31"
"70",14,"woody","8/8",0,"2018","10","31"
"71",1,"non-woody-winsen","4/8",0,"2018","11","16"
"72",2,"non-woody","0",0,"2018","11","16"
"73",3,"non-woody-winsen","5.8",0,"2018","11","16"
"74",4,"waterbody","7/8",0,"2018","11","16"
"75",5,"non-woody","5/8",0,"2018","11","16"
"76",6,"non-woody","2/8",0,"2018","11","16"
"77",7,"non-woody","3/8",0,"2018","11","16"
"78",8,"non-woody","5/8",0,"2018","11","16"
"79",9,"non-woody","3/8",0,"2018","11","16"
"80",10,"waterbody","8/8",0,"2018","11","16"
"81",11,"woody","4/5",0,"2018","11","16"
"82",12,"non-woody","7/8",0,"2018","11","16"
"83",13,"woody","1/8",0,"2018","11","16"
"84",14,"woody","8/8",0,"2018","11","16"
"85",1,"non-woody-winsen","4/8",0,"2018","12","18"
"86",2,"non-woody","0",0,"2018","12","18"
"87",3,"non-woody-winsen","5.8",0,"2018","12","18"
"88",4,"waterbody","7/8",0,"2018","12","18"
"89",5,"non-woody","5/8",0,"2018","12","18"
"90",6,"non-woody","2/8",0,"2018","12","18"
"91",7,"non-woody","3/8",0,"2018","12","18"
"92",8,"non-woody","5/8",0,"2018","12","18"
"93",9,"non-woody","3/8",0,"2018","12","18"
"94",10,"waterbody","8/8",0,"2018","12","18"
"95",11,"woody","4/5",0,"2018","12","18"
"96",12,"non-woody","7/8",0,"2018","12","18"
